Date,ZC025YR,ZC050YR,ZC075YR,ZC100YR,ZC200YR,ZC500YR,ZC1000YR,ZC2000YR,ZC3000YR
2016-05-19,0.021562,0.022965,0.024226,0.02536,0.028875,0.033833,0.035815,0.036007,0.035762
2016-05-20,0.021504,0.023404,0.025076,0.026548,0.030866,0.035836,0.036731,0.036098,0.035652
2016-05-23,0.021519,0.023111,0.024528,0.025788,0.029591,0.034485,0.035988,0.035846,0.035531
2016-05-24,0.021857,0.02367,0.025268,0.026676,0.030821,0.035658,0.036614,0.036073,0.035665
2016-05-25,0.022034,0.023292,0.024423,0.02544,0.028594,0.033067,0.034957,0.035396,0.035355
2016-05-26,0.022547,0.02396,0.025221,0.026347,0.029777,0.034349,0.035945,0.036018,0.03581
2016-05-27,0.02218,0.023622,0.02491,0.026059,0.02956,0.034214,0.035819,0.035858,0.035624
2016-05-30,0.02138,0.02293,0.024305,0.025526,0.029192,0.033832,0.035228,0.0352,0.035006
2016-05-31,0.021306,0.022691,0.023931,0.025041,0.028441,0.033073,0.034837,0.035119,0.035019
2016-06-01,0.020956,0.022422,0.02373,0.024897,0.028444,0.033148,0.034817,0.035031,0.034922
2016-06-02,0.021356,0.022773,0.024037,0.025167,0.028605,0.033188,0.034833,0.035038,0.034922
2016-06-03,0.021027,0.022675,0.024137,0.025436,0.029337,0.034266,0.035692,0.035506,0.035191
2016-06-06,0.020718,0.0225,0.024073,0.025462,0.029569,0.034458,0.03554,0.035091,0.034707
2016-06-07,0.021121,0.022785,0.024259,0.025564,0.029455,0.03424,0.035484,0.0352,0.034872
2016-06-08,0.021884,0.023445,0.024829,0.026058,0.029739,0.034348,0.035624,0.035374,0.035042
2016-06-09,0.022014,0.023433,0.0247,0.02583,0.029273,0.033842,0.035384,0.035335,0.035048
2016-06-10,0.022291,0.023602,0.024774,0.025822,0.029021,0.033331,0.034901,0.03506,0.034911
2016-06-13,0.021737,0.022894,0.023935,0.024873,0.027793,0.031986,0.033813,0.034278,0.034259
2016-06-14,0.023926,0.025615,0.027099,0.028402,0.032203,0.036458,0.037047,0.03629,0.035806
2016-06-15,0.024173,0.025763,0.02716,0.028386,0.031961,0.035961,0.03654,0.035905,0.035505
2016-06-16,0.024063,0.025471,0.02672,0.027827,0.03114,0.035256,0.036331,0.035988,0.035621
2016-06-17,0.024949,0.026147,0.027213,0.028162,0.031023,0.034699,0.035828,0.035735,0.03551
2016-06-20,0.023554,0.025052,0.026372,0.027535,0.030954,0.034929,0.035697,0.03524,0.034901
2016-06-21,0.024939,0.026361,0.027614,0.02872,0.031979,0.035801,0.036536,0.035997,0.035587
2016-06-22,0.025142,0.026572,0.027838,0.028957,0.032283,0.03629,0.037129,0.036475,0.035939
2016-06-23,0.023899,0.02505,0.026079,0.027,0.029821,0.033637,0.034996,0.035,0.034766
2016-06-24,0.023747,0.02512,0.026338,0.02742,0.030658,0.034701,0.03576,0.035389,0.034996
2016-06-27,0.025413,0.026725,0.027885,0.028909,0.031944,0.035579,0.036382,0.035986,0.035647
2016-06-28,0.0257,0.026907,0.027979,0.028931,0.03179,0.035394,0.036366,0.036035,0.035673
2016-06-29,0.025399,0.026807,0.028048,0.02914,0.03235,0.036045,0.036645,0.035961,0.035478
2016-06-30,0.025633,0.027008,0.028221,0.029288,0.032425,0.036038,0.036619,0.03593,0.035442
2016-07-01,0.02493,0.026001,0.026961,0.027821,0.030463,0.034077,0.035385,0.03536,0.035103
2016-07-04,0.02521,0.026464,0.027571,0.028548,0.031435,0.034855,0.035583,0.035219,0.034922
2016-07-05,0.025547,0.027392,0.028999,0.030397,0.034363,0.038253,0.038024,0.036528,0.035756
2016-07-06,0.024905,0.026102,0.027169,0.028119,0.031002,0.034759,0.035907,0.035663,0.035308
2016-07-07,0.025817,0.027157,0.02834,0.029387,0.032492,0.03621,0.036965,0.036346,0.03585
2016-07-08,0.026025,0.027159,0.028165,0.029057,0.031726,0.035046,0.035919,0.035653,0.035362
2016-07-11,0.026035,0.027221,0.028276,0.029214,0.032039,0.035625,0.036583,0.03616,0.035722
2016-07-12,0.026415,0.027628,0.028699,0.029644,0.03244,0.035756,0.036424,0.035946,0.035569
2016-07-13,0.025681,0.026762,0.027724,0.02858,0.031166,0.034506,0.035531,0.035402,0.03516
2016-07-14,0.025425,0.026651,0.027738,0.028701,0.031578,0.035129,0.036024,0.035692,0.035358
2016-07-15,0.025325,0.026593,0.027717,0.028712,0.031676,0.035305,0.036182,0.035804,0.035448
2016-07-18,0.025751,0.027065,0.028225,0.02925,0.032286,0.035912,0.036691,0.036254,0.035891
2016-07-19,0.0256,0.026867,0.027988,0.02898,0.031935,0.035534,0.036375,0.03596,0.035585
2016-07-20,0.02573,0.026729,0.027627,0.028434,0.030937,0.034457,0.035826,0.035864,0.035625
2016-07-21,0.02656,0.027742,0.028793,0.029726,0.032531,0.036076,0.03704,0.036716,0.036357
2016-07-22,0.025946,0.027348,0.028581,0.029665,0.032836,0.036438,0.037008,0.036444,0.036066
2016-07-25,0.025638,0.026771,0.027782,0.028682,0.031411,0.034979,0.036131,0.036065,0.035841
2016-07-26,0.025679,0.026901,0.027988,0.028954,0.031866,0.035583,0.036663,0.036436,0.036123
2016-07-27,0.025063,0.026364,0.027519,0.028545,0.031629,0.035531,0.036635,0.036394,0.036078
2016-07-28,0.024936,0.026531,0.027933,0.029164,0.032753,0.036773,0.037335,0.036627,0.036175
2016-07-29,0.024475,0.025833,0.027036,0.028101,0.031278,0.035184,0.036181,0.035894,0.035588
2016-08-01,0.023645,0.025107,0.026403,0.027552,0.030981,0.035205,0.036234,0.035752,0.035297
2016-08-02,0.024148,0.025412,0.026536,0.027536,0.030549,0.034404,0.035548,0.035369,0.035081
2016-08-03,0.023323,0.02509,0.026642,0.028007,0.031989,0.036442,0.03695,0.03583,0.035096
2016-08-04,0.023024,0.024207,0.025257,0.026189,0.028986,0.032528,0.033636,0.033741,0.03368
2016-08-05,0.023509,0.024991,0.026297,0.027449,0.030842,0.034814,0.035591,0.035086,0.034702
2016-08-08,0.022961,0.02429,0.025465,0.026504,0.029597,0.033373,0.034351,0.034188,0.033982
2016-08-09,0.023227,0.024527,0.025682,0.026711,0.029814,0.033798,0.034985,0.034781,0.034466
2016-08-10,0.02372,0.025035,0.026201,0.027237,0.030342,0.034238,0.0353,0.035024,0.034695
2016-08-11,0.024679,0.02588,0.026951,0.027907,0.03081,0.034614,0.035782,0.035497,0.035104
2016-08-12,0.024915,0.026292,0.027509,0.028585,0.031774,0.035583,0.036344,0.035702,0.035192
2016-08-15,0.025382,0.026442,0.027386,0.028226,0.030771,0.034077,0.035103,0.034967,0.034714
2016-08-16,0.025683,0.027082,0.028312,0.029391,0.03254,0.036055,0.036493,0.035739,0.035253
2016-08-17,0.024659,0.025789,0.026792,0.027682,0.030346,0.033684,0.034634,0.034531,0.034345
2016-08-18,0.024847,0.026348,0.027664,0.028818,0.032167,0.035833,0.036207,0.035381,0.034878
2016-08-19,0.025154,0.026404,0.027507,0.028481,0.031359,0.034771,0.03548,0.03506,0.034723
2016-08-22,0.025036,0.026364,0.027537,0.028573,0.031641,0.035291,0.036009,0.035398,0.034919
2016-08-23,0.025398,0.026705,0.027858,0.028875,0.03187,0.03537,0.035997,0.035398,0.034954
2016-08-24,0.026032,0.027296,0.028408,0.029385,0.03224,0.035457,0.035906,0.035284,0.034875
2016-08-25,0.025896,0.02704,0.028046,0.028933,0.031535,0.034541,0.035096,0.034727,0.034463
2016-08-26,0.02588,0.027119,0.028214,0.029181,0.03205,0.035474,0.036146,0.035537,0.035056
2016-08-29,0.025948,0.027108,0.02813,0.02903,0.031678,0.034757,0.03534,0.03495,0.034663
2016-08-30,0.026289,0.027302,0.028202,0.029001,0.031404,0.034442,0.03528,0.03503,0.034741
2016-08-31,0.026793,0.028099,0.029242,0.030242,0.033132,0.036222,0.036432,0.035621,0.035148
2016-09-01,0.027011,0.028178,0.029206,0.030111,0.032766,0.035813,0.036286,0.035686,0.035268
2016-09-02,0.026495,0.027721,0.028801,0.029751,0.032535,0.035712,0.036198,0.035601,0.035192
2016-09-05,0.02696,0.028166,0.02923,0.030167,0.032922,0.036106,0.036603,0.035927,0.035445
2016-09-06,0.026709,0.02774,0.028657,0.029474,0.031939,0.035095,0.035965,0.035605,0.035218
2016-09-07,0.027589,0.02858,0.029458,0.030238,0.03257,0.035455,0.036135,0.035706,0.035319
2016-09-08,0.027847,0.028852,0.029737,0.030517,0.032811,0.035468,0.035921,0.035456,0.035121
2016-09-09,0.029112,0.030331,0.03139,0.032309,0.034901,0.037366,0.03712,0.036114,0.035621
2016-09-12,0.029031,0.029938,0.030737,0.03144,0.033505,0.035884,0.036279,0.035864,0.035571
2016-09-13,0.028475,0.029614,0.030612,0.031487,0.034018,0.036743,0.036915,0.036103,0.03561
2016-09-14,0.028718,0.029561,0.030313,0.030987,0.033044,0.035782,0.036614,0.03628,0.035891
2016-09-15,0.030322,0.03153,0.032579,0.033491,0.036067,0.03853,0.03826,0.037134,0.036551
